States;Municipalities;emi_2017;emi_2018;emi_agri_2017;emi_agri_2018;emi_luc_2017;emi_luc_2018;emi_energy_2017;emi_energy_2018;emi_wast_2017;emi_waste_2018;va_2017;imp_2017;pib_2017;pib_percapta_2017;va_2018;imp_2018;pib_2018;pib_percapta_2018
TO;Abreulândia;503625.99;415469.12;136667.61;127828.13;364882;286357;1015.25;530.51;1061.13;753.48;54647.33;1831.23;56478.56;21967.55;50951.05;1451.15;52402.19;20437.67
MA;Açailândia;1825317.81;2012738.16;678907.71;701929.89;898884;1033654;192948.54;221796.36;54577.55;55357.9;2004494.26;198243.79;2202738.05;19784.07;2379994.75;222795.91;2602790.66;23289.73
MA;Afonso Cunha;182506.68;77780.74;6675.58;7322.15;162594;59017;11937.19;10089.06;1299.9;1352.53;43614.81;1236.37;44851.18;6915.08;48978.97;1256.8;50235.77;7765.62
MA;Água Doce do Maranhão;28493.82;28598.69;6829.82;6986.73;17489;15176;1867.48;3941.72;2307.52;2494.25;70520.41;2654.03;73174.44;5874.16;82581.72;3604.34;86186.06;6901.51
TO;Aguiarnópolis;126577.32;116760.47;24029.74;20766.03;35435;31678;65251.98;62457.73;1860.6;1858.71;113839.67;13198.51;127038.17;19665.35;107967.14;16936.28;124903.42;19005.39
MA;Aldeias Altas;105401.7;106818.73;39739.73;47702.45;55436;49673;4635.72;3783.43;5590.25;5659.85;167113.5;6996.21;174109.7;6598.31;175439.54;5918.5;181358.03;6895.22
TO;Aliança do Tocantins;294823.21;277772.18;154402.55;151950.37;135867;120962;2416.34;2676.74;2137.32;2183.07;111641.14;4484.75;116125.89;21010.66;96918.64;6616.2;103534.84;19053.15
TO;Almas;497213.75;383090.52;127292.91;126189.01;362772;250038;4601.1;4211.05;2547.74;2652.46;145722.04;5653.63;151375.68;20813.37;146888.44;5106.59;151995.04;21314.69
MA;Alto Alegre do Maranhão;259620.8;274772.3;35921.19;32946.78;115218;127225;100312.6;106507.39;8169.02;8093.13;198526.79;21418.44;219945.23;8184.92;238269.34;30657.89;268927.23;10020.02
MA;Alto Parnaíba;353321.72;270561.3;110131.87;126584.2;214188;114376;25958.74;26486.13;3043.11;3114.98;277945.93;9670.27;287616.2;26144.55;340414.03;8737.38;349151.41;31263.56
TO;Alvorada;440748.85;430641.63;155781.2;139091.98;56929;61904;160563.5;158337.23;67475.15;71308.42;289150.21;42526.87;331677.08;38947.52;236041.45;35635.73;271677.19;32238.9
PI;Alvorada do Gurguéia;104410.47;307633.5;27996.84;20264.57;68140;279419;7039.5;6717.48;1234.13;1232.45;69197.71;4753.47;73951.18;13884.94;65183.34;5571.25;70754.59;13122.14
