States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture,LUC,Energy,Waste,group,group_name
TO,Abreulândia,415469.12,127828.13,286357,530.51,753.48,52402.19,2564,0.30767179519864196,0.6892377464780054,0.0012768939361847158,0.001813564387167932,1,G1
MA,Açailândia,2012738.15,701929.89,1033654,221796.36,55357.9,2602790.66,111757,0.34874376977452337,0.513556122538841,0.1101963313012177,0.027503776385418045,1,G1
MA,Afonso Cunha,77780.73999999999,7322.15,59017,10089.06,1352.53,50235.77,6468,0.0941383432453844,0.7587611020414566,0.12971154555742206,0.017389009155737014,5,G5
MA,Água Doce do Maranhão,28598.7,6986.73,15176,3941.72,2494.25,86186.06,12488,0.24430236339414027,0.530653491242609,0.1378286425606758,0.08721550280257494,1,G1
TO,Aguiarnópolis,116760.47,20766.03,31678,62457.73,1858.71,124903.42,6571,0.1778515451333829,0.27130757524357346,0.5349218789544099,0.015919000668633828,3,G3
MA,Aldeias Altas,106818.73,47702.45,49673,3783.43,5659.85,181358.03,26301,0.446573835880655,0.46502144333676315,0.035419162912721396,0.05298555786986047,2,G2
TO,Aliança do Tocantins,277772.18,151950.37,120962,2676.74,2183.07,103534.84,5434,0.547032355796034,0.43547197563125295,0.009636458193905522,0.007859210378807555,2,G2
TO,Almas,383090.52,126189.01,250038,4211.05,2652.46,151995.04,7130,0.3293973706266602,0.6526864721163029,0.010992310642403785,0.006923846614633011,1,G1
MA,Alto Alegre do Maranhão,274772.3,32946.78,127225,106507.39,8093.13,268927.23,26838,0.11990575469215783,0.4630197439843827,0.387620549815247,0.029453951508212436,6,G6
MA,Alto Parnaíba,270561.31,126584.2,114376,26486.13,3114.98,349151.41,11167,0.46785772880830595,0.422735978030266,0.09789326493133849,0.011513028230089513,2,G2
TO,Alvorada,430641.63,139091.98,61904,158337.23,71308.42,271677.19,8426,0.3229877705970972,0.1437482948408866,0.36767748162201597,0.16558645294000024,6,G6
PI,Alvorada do Gurguéia,307633.5,20264.57,279419,6717.48,1232.45,70754.59,5392,0.06587244237054807,0.9082853460367613,0.021835983402327768,0.004006228190362883,5,G5
MA,Amarante do Maranhão,1508035.9100000001,525488.77,961908,11136.84,9502.3,314235.32,41135,0.34845905625682344,0.6378548372896504,0.00738499655488973,0.006301109898636298,1,G1
TO,Ananás,476973.3,174487.18,286151,9529.37,6805.75,131056.67,9606,0.36582169274464627,0.599930855668441,0.01997883319674288,0.014268618390169848,1,G1
MA,Anapurus,123113.06999999999,10303.4,105561,3612.08,3636.59,131751.24,15565,0.08369054560982031,0.8574313027853177,0.02933953316248226,0.02953861844237984,5,G5
BA,Angical,205522.54,177527.91,20907,2672.32,4415.31,134673.55,14017,0.8637880302569246,0.10172606858595655,0.013002564098322258,0.02148333705879657,4,G4
TO,Angico,186184.81508698192,29683.63,140584,15103.845086981908,813.34,36054.98,3416,0.15943099326404458,0.7550776895222195,0.08112286214064066,0.004368455073095104,5,G5
PI,Antônio Almeida,47394.6,10233.8,26943,8966.46,1251.34,136648.84,3158,0.2159275529279707,0.5684824853464319,0.18918737577698724,0.02640258594861018,1,G1
TO,Aparecida do Rio Negro,278567.93,72021.08,199135,5800.94,1610.91,102279.76,4740,0.25854045725938374,0.7148525675586562,0.020824148709436868,0.005782826472523237,1,G1
TO,Aragominas,801458.31,180343.76,618799,251.54,2064.01,64347.88,5785,0.2250195147393256,0.7720913143941324,0.0003138528815054647,0.0025753179850365516,5,G5
TO,Araguacema,502404.25,137355.94,358411,4677.16,1960.15,126453.09,7016,0.27339724932661297,0.713391656221061,0.009309555004759613,0.003901539447566377,1,G1
TO,Araguaçu,1057182.95,715075.53,328580,5977.17,7550.25,192400.61,8567,0.676397145829868,0.3108071313484577,0.005653865303067932,0.007141857518606406,4,G4
TO,Araguaína,1314710.54,476287.96,410313,357827.03,70282.55,4387503.32,177517,0.3622759120802363,0.3120937936650299,0.2721717207804541,0.05345857347427974,6,G6
