,States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture and Livestock,LUC,Energy,Waste,group
0,TO,AbreulÃ¢ndia,415469.12,127828.13,286357,530.51,753.48,52402.19,2564,0.30767179519864196,0.6892377464780054,0.0012768939361847158,0.001813564387167932,0
1,MA,AÃ§ailÃ¢ndia,2012738.16,701929.89,1033654,221796.36,55357.9,2602790.66,111757,0.3487437680418401,0.5135561199873112,0.11019633075372308,0.027503776248769488,0
2,MA,Afonso Cunha,77780.74,7322.15,59017,10089.06,1352.53,50235.77,6468,0.09413834324538439,0.7587611020414565,0.12971154555742204,0.01738900915573701,4
3,MA,Ãgua Doce do MaranhÃ£o,28598.69,6986.73,15176,3941.72,2494.25,86186.06,12488,0.24430244881845986,0.5306536767942868,0.13782869075471638,0.08721553329890286,0
4,TO,AguiarnÃ³polis,116760.47,20766.03,31678,62457.73,1858.71,124903.42,6571,0.1778515451333829,0.27130757524357346,0.5349218789544099,0.015919000668633828,1
5,MA,Aldeias Altas,106818.73,47702.45,49673,3783.43,5659.85,181358.03,26301,0.446573835880655,0.46502144333676315,0.035419162912721396,0.05298555786986047,2
6,TO,AlianÃ§a do Tocantins,277772.18,151950.37,120962,2676.74,2183.07,103534.84,5434,0.547032355796034,0.43547197563125295,0.009636458193905522,0.007859210378807555,2
7,TO,Almas,383090.52,126189.01,250038,4211.05,2652.46,151995.04,7130,0.3293973706266602,0.6526864721163029,0.010992310642403785,0.006923846614633011,0
8,MA,Alto Alegre do MaranhÃ£o,274772.3,32946.78,127225,106507.39,8093.13,268927.23,26838,0.11990575469215783,0.4630197439843827,0.387620549815247,0.029453951508212436,5
9,MA,Alto ParnaÃ­ba,270561.3,126584.2,114376,26486.13,3114.98,349151.41,11167,0.46785774610042163,0.42273599365467274,0.09789326854949323,0.01151302865561335,2
10,TO,Alvorada,430641.63,139091.98,61904,158337.23,71308.42,271677.19,8426,0.3229877705970972,0.1437482948408866,0.36767748162201597,0.16558645294000024,5
